Data, Hora, Comando, Valor
06/10/2021, 23:51:24, Lâmpada da Sala T01, 1
06/10/2021, 23:51:42, Ar condicionado terreo, 1
06/10/2021, 23:51:50, ALARME_PRESENÇA, 1
06/10/2021, 23:51:55, ALARME_INCENDIO, 1

